"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2015","5,516.00","5,692.50","5,704.00","5,502.00","10.12K","-2.90%"
"Jan 22, 2015","5,680.50","5,736.00","5,758.50","5,640.50","8.79K","-0.98%"
"Jan 21, 2015","5,736.50","5,706.00","5,804.00","5,590.50","10.30K","0.38%"
"Jan 20, 2015","5,715.00","5,665.50","5,766.50","5,650.00","9.02K","0.94%"
"Jan 19, 2015","5,662.00","5,770.00","5,778.00","5,650.00","7.56K","-1.97%"
"Jan 16, 2015","5,775.50","5,650.00","5,794.00","5,606.00","12.00K","2.21%"
"Jan 15, 2015","5,650.75","5,574.25","5,722.00","5,560.50","16.69K","2.55%"
"Jan 14, 2015","5,510.00","5,785.25","5,788.75","5,351.50","20.49K","-4.53%"
"Jan 13, 2015","5,771.25","6,014.50","6,033.25","5,771.25","12.91K","-4.31%"
"Jan 12, 2015","6,031.00","6,096.00","6,100.50","5,964.50","10.16K","-1.16%"
"Jan 09, 2015","6,101.50","6,132.00","6,148.00","6,073.00","10.12K","-0.35%"
"Jan 08, 2015","6,122.75","6,125.00","6,188.25","6,103.75","8.41K","-0.04%"
"Jan 07, 2015","6,125.00","6,131.00","6,151.25","6,092.00","9.25K","-0.10%"
"Jan 06, 2015","6,131.00","6,142.00","6,176.50","6,114.25","8.65K","-0.18%"
"Jan 05, 2015","6,142.00","6,253.50","6,275.50","6,095.25","11.91K","-1.73%"
"Jan 02, 2015","6,250.25","6,270.25","6,300.75","6,218.00","6.20K","-0.55%"
"Dec 31, 2014","6,285.00","6,308.50","6,336.25","6,280.00","4.89K","-0.48%"
"Dec 30, 2014","6,315.25","6,251.00","6,344.25","6,251.00","9.10K","1.00%"
"Dec 29, 2014","6,253.00","6,240.00","6,315.75","6,230.00","9.41K","-0.93%"
"Dec 24, 2014","6,312.00","6,328.75","6,353.00","6,298.00","5.09K","-0.34%"
"Dec 23, 2014","6,333.25","6,357.00","6,374.50","6,314.00","6.97K","-0.43%"
"Dec 22, 2014","6,360.75","6,386.25","6,421.50","6,344.75","7.80K","-0.41%"
"Dec 19, 2014","6,387.00","6,315.00","6,430.00","6,315.00","8.72K","1.22%"
"Dec 18, 2014","6,310.00","6,363.50","6,386.50","6,307.00","10.14K","-0.86%"
"Dec 17, 2014","6,365.00","6,349.00","6,403.00","6,268.00","11.43K","0.32%"
"Dec 16, 2014","6,345.00","6,380.00","6,400.75","6,308.50","12.09K","-0.36%"
"Dec 15, 2014","6,368.00","6,475.75","6,518.25","6,363.00","8.87K","-1.88%"
"Dec 12, 2014","6,490.00","6,445.25","6,507.50","6,445.25","6.97K","0.57%"
"Dec 11, 2014","6,453.00","6,420.00","6,483.75","6,409.50","8.75K","0.58%"
"Dec 10, 2014","6,416.00","6,459.25","6,475.50","6,411.25","10.14K","-0.78%"
"Dec 09, 2014","6,466.50","6,399.75","6,532.25","6,353.75","12.45K","1.04%"
"Dec 08, 2014","6,399.75","6,440.25","6,471.75","6,398.50","8.48K","-0.60%"
"Dec 05, 2014","6,438.50","6,453.00","6,524.25","6,433.00","8.86K","-0.48%"
"Dec 04, 2014","6,469.25","6,377.25","6,497.25","6,377.25","10.62K","1.44%"
"Dec 03, 2014","6,377.25","6,400.00","6,429.50","6,361.00","9.81K","-0.63%"
"Dec 02, 2014","6,417.75","6,422.00","6,434.75","6,321.25","11.55K","-0.50%"
"Dec 01, 2014","6,449.75","6,235.25","6,459.50","6,230.50","16.47K","1.60%"
"Nov 28, 2014","6,348.00","6,544.00","6,558.75","6,342.00","14.87K","-3.04%"
"Nov 27, 2014","6,547.00","6,573.50","6,605.50","6,538.00","7.23K","-0.43%"
"Nov 26, 2014","6,575.00","6,591.25","6,615.50","6,556.25","10.13K","-0.23%"
"Nov 25, 2014","6,590.25","6,660.00","6,697.25","6,583.00","11.54K","-0.92%"
"Nov 24, 2014","6,651.75","6,719.25","6,728.75","6,643.00","8.00K","-0.71%"
"Nov 21, 2014","6,699.25","6,654.75","6,771.00","6,645.00","11.74K","0.67%"
"Nov 20, 2014","6,654.75","6,676.00","6,686.25","6,620.00","8.14K","-0.39%"
"Nov 19, 2014","6,680.50","6,631.00","6,705.75","6,600.00","10.11K","0.81%"
"Nov 18, 2014","6,626.75","6,697.25","6,701.50","6,612.00","9.78K","-1.06%"
"Nov 17, 2014","6,697.75","6,705.50","6,732.25","6,665.00","7.74K","-0.09%"
"Nov 14, 2014","6,703.75","6,615.75","6,711.75","6,601.50","10.61K","1.48%"
"Nov 13, 2014","6,606.00","6,678.25","6,719.75","6,590.00","8.03K","-1.02%"
"Nov 12, 2014","6,674.25","6,696.00","6,718.75","6,665.00","7.79K","-0.23%"
"Nov 11, 2014","6,689.50","6,664.00","6,698.00","6,606.00","8.24K","0.38%"
"Nov 10, 2014","6,664.00","6,691.50","6,725.00","6,656.75","6.89K","-0.50%"
"Nov 07, 2014","6,697.25","6,646.25","6,708.75","6,638.50","9.50K","0.83%"
"Nov 06, 2014","6,642.00","6,629.75","6,658.25","6,601.00","9.00K","0.18%"
"Nov 05, 2014","6,629.75","6,645.00","6,654.25","6,543.50","10.88K","-0.21%"
"Nov 04, 2014","6,643.75","6,722.00","6,753.50","6,618.50","10.27K","-1.35%"
"Nov 03, 2014","6,735.00","6,700.00","6,752.25","6,681.50","8.87K","0.40%"
"Oct 31, 2014","6,708.25","6,721.00","6,793.25","6,682.00","11.13K","-0.46%"
"Oct 30, 2014","6,739.50","6,757.00","6,782.50","6,680.00","9.68K","-0.28%"
"Oct 29, 2014","6,758.25","6,776.75","6,835.25","6,752.25","9.25K","-0.45%"
"Oct 28, 2014","6,789.00","6,720.00","6,794.25","6,720.00","8.99K","0.92%"
"Oct 27, 2014","6,727.25","6,675.25","6,751.50","6,659.00","7.87K","0.69%"
"Oct 24, 2014","6,681.00","6,672.25","6,726.25","6,668.00","8.74K","0.15%"
"Oct 23, 2014","6,670.75","6,634.75","6,705.50","6,626.00","8.95K","0.58%"
"Oct 22, 2014","6,632.00","6,666.00","6,709.00","6,627.25","9.01K","-0.47%"
"Oct 21, 2014","6,663.00","6,589.00","6,681.25","6,560.75","10.58K","1.13%"
"Oct 20, 2014","6,588.25","6,639.75","6,643.50","6,541.75","10.41K","-0.62%"
"Oct 17, 2014","6,629.50","6,579.25","6,644.00","6,530.00","11.66K","0.65%"
"Oct 16, 2014","6,586.75","6,647.50","6,681.75","6,535.00","15.75K","-0.50%"
"Oct 15, 2014","6,620.00","6,773.75","6,798.00","6,620.00","12.57K","-2.58%"
"Oct 14, 2014","6,795.25","6,697.25","6,824.75","6,692.50","12.23K","0.88%"
"Oct 13, 2014","6,736.00","6,672.50","6,736.00","6,670.50","10.80K","0.51%"
"Oct 10, 2014","6,701.75","6,680.00","6,710.25","6,612.50","12.19K","-0.00%"
"Oct 09, 2014","6,702.00","6,642.75","6,744.75","6,642.75","11.37K","0.91%"
"Oct 08, 2014","6,641.75","6,694.75","6,727.00","6,625.50","12.55K","-0.91%"
"Oct 07, 2014","6,702.50","6,710.00","6,724.00","6,666.75","7.03K","-0.14%"
"Oct 06, 2014","6,712.00","6,621.00","6,719.00","6,621.00","6.62K","1.06%"
"Oct 03, 2014","6,641.50","6,643.00","6,668.00","6,620.25","6.75K","0.05%"
"Oct 02, 2014","6,638.00","6,683.00","6,710.50","6,603.50","8.97K","-0.82%"
"Oct 01, 2014","6,693.00","6,653.25","6,727.75","6,636.25","8.75K","0.57%"
"Sep 30, 2014","6,655.00","6,731.00","6,762.50","6,650.00","9.36K","-1.16%"
"Sep 29, 2014","6,733.25","6,667.25","6,769.00","6,666.00","9.77K","0.35%"
"Sep 26, 2014","6,709.50","6,703.00","6,742.50","6,695.50","7.94K","0.09%"
"Sep 25, 2014","6,703.75","6,746.50","6,765.25","6,676.25","10.35K","-0.63%"
"Sep 24, 2014","6,746.00","6,713.25","6,769.00","6,686.00","10.40K","0.55%"
"Sep 23, 2014","6,709.00","6,729.75","6,779.75","6,709.00","9.31K","-0.28%"
"Sep 22, 2014","6,728.00","6,826.75","6,826.75","6,707.25","11.99K","-1.46%"
"Sep 19, 2014","6,827.75","6,830.00","6,863.25","6,784.75","9.72K","-0.09%"
"Sep 18, 2014","6,834.00","6,911.00","6,919.00","6,822.75","9.57K","-1.27%"
"Sep 17, 2014","6,922.00","6,967.00","6,969.50","6,903.00","9.94K","-0.49%"
"Sep 16, 2014","6,956.00","6,813.25","6,987.00","6,809.50","13.72K","1.94%"
"Sep 15, 2014","6,823.75","6,789.75","6,831.75","6,770.25","9.72K","-0.54%"
"Sep 12, 2014","6,861.00","6,823.25","6,863.25","6,804.00","8.16K","0.41%"
"Sep 11, 2014","6,833.00","6,868.50","6,878.75","6,770.00","11.67K","-0.51%"
"Sep 10, 2014","6,867.75","6,843.00","6,889.00","6,830.25","9.75K","0.24%"
"Sep 09, 2014","6,851.50","6,998.00","7,005.50","6,822.00","12.76K","-1.96%"
"Sep 08, 2014","6,988.50","6,979.75","7,052.00","6,961.00","5.94K","0.19%"
"Sep 05, 2014","6,975.00","6,938.00","6,977.75","6,923.50","6.75K","0.50%"
"Sep 04, 2014","6,940.50","6,890.00","6,980.25","6,890.00","7.96K","0.54%"
"Sep 03, 2014","6,903.00","6,949.00","6,974.00","6,881.25","9.36K","-0.68%"
"Sep 02, 2014","6,950.50","6,934.50","6,987.50","6,933.25","7.38K","0.15%"
"Sep 01, 2014","6,940.00","6,957.25","6,987.25","6,915.25","5.75K","-0.25%"
"Aug 29, 2014","6,957.25","6,926.00","6,996.00","6,922.75","8.90K","0.35%"
"Aug 28, 2014","6,932.75","7,017.00","7,045.50","6,913.25","9.22K","-1.31%"
"Aug 27, 2014","7,025.00","7,044.00","7,057.50","6,994.00","7.67K","-0.44%"
"Aug 26, 2014","7,056.00","7,089.00","7,100.00","7,037.50","7.47K","-0.47%"
"Aug 22, 2014","7,089.00","7,021.75","7,091.00","7,009.25","8.82K","0.88%"
"Aug 21, 2014","7,027.50","7,019.50","7,045.25","6,973.00","8.23K","0.15%"
"Aug 20, 2014","7,016.75","6,863.00","7,027.00","6,853.50","10.98K","2.22%"
"Aug 19, 2014","6,864.50","6,892.25","6,925.25","6,855.00","6.40K","-0.40%"
"Aug 18, 2014","6,892.25","6,883.00","6,928.25","6,855.00","5.67K","0.31%"
"Aug 15, 2014","6,871.25","6,820.00","6,873.75","6,820.00","8.92K","0.67%"
"Aug 14, 2014","6,825.25","6,883.75","6,900.00","6,821.50","8.06K","-0.85%"
"Aug 13, 2014","6,883.75","6,955.00","6,972.25","6,873.25","9.48K","-1.02%"
"Aug 12, 2014","6,955.00","6,996.00","7,028.50","6,955.00","8.04K","-0.54%"
"Aug 11, 2014","6,993.00","7,017.50","7,037.75","6,986.25","6.70K","-0.03%"
"Aug 08, 2014","6,995.25","6,980.00","7,009.50","6,957.50","7.32K","0.20%"
"Aug 07, 2014","6,981.00","6,971.00","7,017.50","6,955.00","9.06K","0.20%"
"Aug 06, 2014","6,966.75","7,055.00","7,057.25","6,951.00","9.96K","-1.15%"
"Aug 05, 2014","7,048.00","7,136.00","7,139.50","7,042.75","7.96K","-1.30%"
"Aug 04, 2014","7,141.00","7,071.00","7,144.75","7,040.00","7.73K","0.98%"
"Aug 01, 2014","7,072.00","7,097.25","7,148.75","7,058.00","7.60K","-0.44%"
"Jul 31, 2014","7,103.00","7,127.50","7,154.50","7,089.75","7.52K","-0.37%"
"Jul 30, 2014","7,129.50","7,072.75","7,145.00","7,045.00","7.34K","0.78%"
"Jul 29, 2014","7,074.00","7,129.00","7,151.00","7,064.00","7.61K","-0.79%"
"Jul 28, 2014","7,130.00","7,126.00","7,145.25","7,090.00","7.56K","0.06%"
"Jul 25, 2014","7,126.00","7,151.00","7,197.50","7,116.25","8.44K","-0.59%"
"Jul 24, 2014","7,168.50","7,040.25","7,174.50","7,035.25","10.30K","1.70%"
"Jul 23, 2014","7,048.50","7,041.00","7,072.25","7,017.50","6.98K","-0.04%"
"Jul 22, 2014","7,051.00","7,026.50","7,098.25","7,020.50","7.61K","0.33%"
"Jul 21, 2014","7,027.50","6,985.00","7,037.25","6,968.75","7.44K","0.51%"
"Jul 18, 2014","6,992.00","7,063.75","7,064.50","6,960.00","8.30K","-1.10%"
"Jul 17, 2014","7,070.00","7,052.75","7,079.50","7,030.25","6.65K","0.13%"
"Jul 16, 2014","7,061.00","7,121.00","7,141.50","7,052.00","7.25K","-1.00%"
"Jul 15, 2014","7,132.25","7,129.50","7,149.50","7,077.50","8.25K","0.06%"
"Jul 14, 2014","7,128.25","7,159.50","7,173.75","7,116.00","6.70K","-0.44%"
"Jul 11, 2014","7,159.50","7,165.00","7,170.00","7,111.00","7.56K","-0.08%"
"Jul 10, 2014","7,165.00","7,113.25","7,170.50","7,082.50","8.01K","0.73%"
"Jul 09, 2014","7,113.25","7,142.75","7,174.00","7,112.00","8.71K","-0.37%"
"Jul 08, 2014","7,140.00","7,126.00","7,211.25","7,110.50","9.64K","0.04%"
"Jul 07, 2014","7,137.25","7,155.00","7,159.00","7,080.00","8.81K","-0.23%"
"Jul 04, 2014","7,154.00","7,170.00","7,189.25","7,130.00","4.99K","-0.22%"
"Jul 03, 2014","7,170.00","7,125.75","7,185.25","7,106.25","10.49K","0.50%"
"Jul 02, 2014","7,134.00","6,987.00","7,143.75","6,978.25","8.94K","1.81%"
"Jul 01, 2014","7,007.00","7,014.00","7,028.00","6,990.00","7.85K","-0.07%"
"Jun 30, 2014","7,012.00","6,933.75","7,024.50","6,924.25","7.80K","1.13%"
"Jun 27, 2014","6,933.75","6,940.75","6,983.00","6,927.00","7.39K","-0.20%"
"Jun 26, 2014","6,947.50","6,926.25","6,954.25","6,895.25","10.35K","0.38%"
"Jun 25, 2014","6,921.00","6,873.50","6,927.50","6,842.25","8.96K","0.67%"
"Jun 24, 2014","6,875.00","6,872.00","6,894.50","6,841.25","8.20K","0.04%"
"Jun 23, 2014","6,872.00","6,815.63","6,899.75","6,806.00","9.56K","0.79%"
"Jun 20, 2014","6,818.00","6,730.00","6,829.25","6,724.50","10.21K","1.28%"
"Jun 19, 2014","6,732.00","6,725.75","6,744.25","6,684.00","6.76K","0.22%"
"Jun 18, 2014","6,717.00","6,713.50","6,743.75","6,692.25","6.70K","0.03%"
"Jun 17, 2014","6,715.00","6,681.00","6,722.50","6,670.00","6.58K","0.48%"
"Jun 16, 2014","6,683.00","6,648.00","6,721.00","6,635.00","7.60K","0.62%"
"Jun 13, 2014","6,642.00","6,626.38","6,679.75","6,625.00","8.04K","0.36%"
"Jun 12, 2014","6,618.00","6,665.00","6,688.00","6,614.25","7.85K","-0.78%"
"Jun 11, 2014","6,670.00","6,694.25","6,731.25","6,655.00","8.33K","-0.36%"
"Jun 10, 2014","6,694.25","6,674.25","6,698.00","6,628.00","8.74K","0.30%"
"Jun 09, 2014","6,674.25","6,710.00","6,710.00","6,636.50","9.35K","-0.53%"
"Jun 06, 2014","6,710.00","6,780.25","6,786.25","6,639.25","11.39K","-1.04%"
"Jun 05, 2014","6,780.25","6,780.75","6,814.00","6,753.50","8.31K","-0.03%"
"Jun 04, 2014","6,782.25","6,864.00","6,872.25","6,760.00","10.03K","-1.19%"
"Jun 03, 2014","6,864.00","6,917.25","6,928.25","6,852.00","7.77K","-0.89%"
"Jun 02, 2014","6,925.50","6,852.63","6,934.75","6,852.63","5.83K","1.19%"
"May 30, 2014","6,844.00","6,873.50","6,910.25","6,836.00","7.82K","-0.43%"
"May 29, 2014","6,873.50","6,930.00","6,941.50","6,865.00","7.43K","-0.94%"
"May 28, 2014","6,938.50","6,925.00","6,969.50","6,910.25","6.32K","0.04%"
"May 27, 2014","6,936.00","6,946.75","6,963.00","6,913.25","6.88K","0.35%"
"May 23, 2014","6,912.00","6,857.00","6,944.25","6,856.50","6.98K","0.75%"
"May 22, 2014","6,860.75","6,835.50","6,895.50","6,822.00","8.85K","0.37%"
"May 21, 2014","6,835.50","6,866.00","6,877.50","6,785.00","8.60K","-0.49%"
"May 20, 2014","6,869.50","6,908.50","6,946.25","6,831.25","8.98K","-0.65%"
"May 19, 2014","6,914.25","6,870.50","6,953.00","6,865.00","9.19K","0.64%"
"May 16, 2014","6,870.50","6,869.25","6,908.00","6,835.75","9.64K","0.07%"
"May 15, 2014","6,866.00","6,892.75","6,929.00","6,863.25","9.22K","-0.41%"
"May 14, 2014","6,894.25","6,837.75","6,939.00","6,822.50","10.19K","0.83%"
"May 13, 2014","6,837.75","6,878.88","6,892.00","6,825.00","8.78K","-0.60%"
"May 12, 2014","6,878.75","6,757.25","6,894.75","6,748.75","10.88K","1.84%"
"May 09, 2014","6,754.25","6,705.00","6,760.00","6,690.00","8.13K","0.60%"
"May 08, 2014","6,714.00","6,655.00","6,725.25","6,640.00","8.22K","0.89%"
"May 07, 2014","6,655.00","6,696.50","6,714.00","6,622.25","8.55K","-0.64%"
"May 06, 2014","6,698.00","6,695.00","6,719.75","6,685.00","6.66K","-0.39%"
"May 02, 2014","6,724.25","6,636.25","6,746.00","6,616.25","6.69K","1.30%"
"May 01, 2014","6,637.75","6,640.00","6,657.75","6,591.00","6.43K","-0.08%"
"Apr 30, 2014","6,642.75","6,729.00","6,736.00","6,636.00","8.38K","-1.28%"
"Apr 29, 2014","6,729.00","6,755.50","6,769.50","6,714.00","8.96K","-0.24%"
"Apr 28, 2014","6,745.00","6,771.75","6,797.75","6,741.25","7.33K","-0.38%"
"Apr 25, 2014","6,771.00","6,745.00","6,779.75","6,710.00","10.24K","0.30%"
"Apr 24, 2014","6,751.00","6,665.00","6,771.00","6,663.00","11.45K","1.12%"
"Apr 23, 2014","6,676.00","6,655.75","6,678.25","6,625.00","8.24K","0.28%"
"Apr 22, 2014","6,657.50","6,662.63","6,664.00","6,605.25","7.57K","-0.22%"
"Apr 17, 2014","6,672.50","6,624.25","6,672.50","6,613.00","6.46K","0.61%"
"Apr 16, 2014","6,632.25","6,553.00","6,695.50","6,548.00","11.12K","1.16%"
"Apr 15, 2014","6,556.00","6,656.50","6,663.25","6,512.25","10.73K","-1.52%"
"Apr 14, 2014","6,657.50","6,663.63","6,686.50","6,641.00","7.37K","0.08%"
"Apr 11, 2014","6,652.50","6,645.13","6,718.50","6,620.00","10.50K","0.04%"
"Apr 10, 2014","6,650.00","6,649.00","6,659.50","6,598.00","8.95K","0.39%"
"Apr 09, 2014","6,624.00","6,685.00","6,686.50","6,575.75","8.05K","-0.83%"
