"Date","Price","Open","High","Low","Change %"
"Mar 09, 2016","8.5203","8.5555","8.5917","8.4913","-0.52%"
"Mar 08, 2016","8.5648","8.5108","8.6082","8.4926","0.72%"
"Mar 07, 2016","8.5032","8.4776","8.5619","8.4746","0.31%"
"Mar 04, 2016","8.4769","8.5862","8.5958","8.4707","-1.26%"
"Mar 03, 2016","8.5852","8.6650","8.6924","8.5610","-0.92%"
"Mar 02, 2016","8.6649","8.6498","8.7217","8.6331","0.16%"
"Mar 01, 2016","8.6514","8.6962","8.7074","8.6295","-0.48%"
"Feb 29, 2016","8.6931","8.6901","8.7439","8.6709","0.08%"
"Feb 26, 2016","8.6864","8.6302","8.6991","8.5889","0.66%"
"Feb 25, 2016","8.6292","8.6631","8.6847","8.6075","-0.43%"
"Feb 24, 2016","8.6666","8.6082","8.7582","8.5815","0.67%"
"Feb 23, 2016","8.6089","8.5970","8.6396","8.5806","0.08%"
"Feb 22, 2016","8.6017","8.5697","8.6389","8.5566","0.55%"
"Feb 19, 2016","8.5546","8.5922","8.6269","8.5483","-0.43%"
"Feb 18, 2016","8.5914","8.5442","8.6113","8.5283","0.56%"
"Feb 17, 2016","8.5434","8.6254","8.6464","8.5334","-0.96%"
"Feb 16, 2016","8.6261","8.6263","8.6477","8.5791","0.05%"
"Feb 15, 2016","8.6222","8.5802","8.6628","8.5693","0.48%"
"Feb 12, 2016","8.5812","8.5597","8.6328","8.5354","0.25%"
"Feb 11, 2016","8.5597","8.5170","8.5944","8.4959","0.50%"
"Feb 10, 2016","8.5168","8.5885","8.5983","8.4982","-0.78%"
"Feb 09, 2016","8.5837","8.5899","8.6268","8.5423","-0.07%"
"Feb 08, 2016","8.5899","8.5569","8.6531","8.5277","0.01%"
"Feb 05, 2016","8.5888","8.5048","8.6156","8.4808","1.01%"
"Feb 04, 2016","8.5033","8.5651","8.5839","8.4425","-0.74%"
"Feb 03, 2016","8.5668","8.7258","8.7427","8.5346","-1.88%"
"Feb 02, 2016","8.7306","8.6890","8.7521","8.6789","0.47%"
"Feb 01, 2016","8.6896","8.6775","8.7240","8.6340","0.15%"
"Jan 29, 2016","8.6767","8.6091","8.7370","8.5940","0.73%"
"Jan 28, 2016","8.6136","8.6618","8.6921","8.6052","-0.55%"
"Jan 27, 2016","8.6615","8.6994","8.7331","8.6404","-0.45%"
"Jan 26, 2016","8.7009","8.7664","8.7846","8.6769","-0.66%"
"Jan 25, 2016","8.7591","8.7460","8.7980","8.7093","0.26%"
"Jan 22, 2016","8.7366","8.7849","8.8109","8.7122","-0.65%"
"Jan 21, 2016","8.7942","8.8855","8.9687","8.7790","-0.92%"
"Jan 20, 2016","8.8755","8.8141","8.9239","8.8015","0.70%"
"Jan 19, 2016","8.8134","8.9058","8.9120","8.7900","-0.98%"
"Jan 18, 2016","8.9009","8.8258","8.9224","8.8186","0.78%"
"Jan 15, 2016","8.8318","8.7757","8.8567","8.7487","0.65%"
"Jan 14, 2016","8.7750","8.8122","8.8533","8.7496","-0.51%"
